Habitat,NMDS1,NMDS2
FI,-0.381663454,1.017225203
FI,-0.330615867,0.526368248
FI,-2.745864209,2.434247769
FI,-0.519148187,1.430941712
FI,-1.960263919,1.727521864
FM,0.573722971,-0.0400796
FM,-1.275901957,-0.929421013
FM,-0.357199903,-1.460195316
FM,-1.583752026,0.0399316
FM,-1.622926861,1.746313317
YSF,-3.893319622,-0.533210619
YSF,-2.614322304,-1.417586934
YSF,-0.967167718,-1.551831404
YSF,-3.246029615,-0.721598662
YSF,-1.737961118,-2.112914728
