Habitat,Elevation,Slope
FI,149,35
FI,138,38
FI,111,27
FI,194,22
FI,116,27
FM,100,3
FM,112,20
FM,104,2
FM,134,27
FM,106,28
YSF,87,16
YSF,79,1
YSF,88,1
YSF,133,22
YSF,94,1
