Habitat,PlantDiversity,MothDiversity
FI,63.36,29.76704118
FI,14.39,11.70035562
FI,11.8,10.80205145
FI,33.52,32.51973527
FI,66.82,38.34478611
FM,17.6,31.579737
FM,11.62,36.29295801
FM,23.26,26.8664897
FM,11.84,20.0643434
FM,21.68,52.77380646
YSF,7.87,8.902424168
YSF,4.72,73.17881096
YSF,14.61,31.08940293
YSF,7.96,33.8261929
YSF,6.39,22.39822943
